"","Screening Criteria","Use","Jurisdiction","Parameter","Criteria_mg_L","CriteriaFraction","CF","Criterion_Formula_mgL"
"162","Livestock","Livestock Watering","Utah","Vanadium",0.1,"Dissolved",NA,NA
"163","Livestock","Livestock Watering","Utah","Zinc",25,"Dissolved",NA,NA
"164","Livestock","Livestock Watering","Navajo Nation","Cobalt",1,"Dissolved",NA,NA
"165","Livestock","Livestock Watering","Navajo Nation","Copper",0.5,"Dissolved",NA,NA
"166","Livestock","Livestock Watering","Navajo Nation","Vanadium",0.1,"Dissolved",NA,NA
"167","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Antimony",0.088,"Dissolved",NA,NA
"168","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Arsenic",0.34,"Dissolved",NA,NA
"169","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Cadmium",0.005852807266,"Dissolved",NA,NA
"170","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Copper",0.03783678786,"Dissolved",NA,NA
"171","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Lead",0.2085684463,"Dissolved",NA,NA
"172","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Mercury",0.0024,"Dissolved",NA,NA
"173","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Nickel",1.186066882,"Dissolved",NA,NA
"174","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Silver",0.02128466642,"Dissolved",NA,NA
"175","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Thallium",0.7,"Dissolved",NA,NA
"176","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Zinc",0.2972487356,"Dissolved",NA,NA
"177","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Hardness",300,"Dissolved",NA,NA
"178","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Cadmium",0.0005270999409,"Dissolved",NA,NA
"179","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Chromium",0.011,"Dissolved",NA,NA
