Date_Time,Site_ID,State,Tribe,Secondary_Tribe,Region,Time_Period,Sample_Type,Hardness,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Selenium,Silver,Sodium,Thallium,Vanadium,Zinc,Strontium,Uranium
11/7/2018,66Animas028.1,New Mexico,NA,NA,Region 6,1,Total,279,652,0.22,0.66,88,0.13,NA,0.12,89600,1.1,0.6,1.3,540,1.3,13500,76.6,0.079,0.5,3.6,3320,0.64,0.45,26400,0.2,1.5,16,940,1.6
11/7/2018,66Animas009.8,New Mexico,NA,NA,Region 6,1,Total,313,820,0.22,0.72,88,0.13,NA,0.12,101000,1.1,0.6,1.8,660,1.5,14700,79.6,0.081,0.6,4,3370,0.61,0.45,33100,0.2,1.6,12,1200,1.9
11/7/2018,66Animas001.7,New Mexico,NA,NA,Region 6,1,Total,324,1170,0.22,0.78,87,0.13,NA,0.12,105000,1.1,0.6,2.4,934,1.8,15100,78.9,0.079,0.6,4.3,3490,0.65,0.45,33600,0.2,1.8,14.4,1200,2
11/15/2018,64SanJua101.6,New Mexico,NA,NA,Region 6,1,Total,158,511,0.22,0.8,68,0.13,NA,0.12,50600,1.1,0.6,1.6,412,0.4,7730,20.9,0.079,0.2,2.4,2370,0.51,0.45,34600,0.2,1.2,1.4,660,1.1
11/15/2018,66SanJua100.2,New Mexico,NA,NA,Region 6,1,Total,223,1130,0.22,0.86,80,0.13,NA,0.12,71500,1.1,0.6,2.9,934,0.9,10800,67.1,0.079,0.4,3.3,2960,0.57,0.45,36300,0.2,1.7,6.6,890,1.6
11/15/2018,67LaPlat002.3,New Mexico,NA,NA,Region 6,1,Total,1630,675,0.36,2.7,17,0.13,NA,0.12,368000,1.1,1,14.7,523,0.4,172000,292,0.079,2.6,11.8,9440,7.3,0.45,936000,0.2,2.9,9.3,660,12
11/15/2018,67SanJua096.3,New Mexico,NA,NA,Region 6,1,Total,220,460,0.22,0.76,72,0.13,NA,0.12,70800,1.1,0.6,2.2,404,0.5,10500,33.1,0.079,0.3,3,2930,0.54,0.45,35500,0.2,1.4,5,880,1.4
11/15/2018,67SanJua088.1,New Mexico,NA,NA,Region 6,1,Total,227,811,0.22,0.78,74,0.13,NA,0.12,72400,1.1,0.6,1.7,642,0.7,11300,34.2,0,0.2,3.1,4280,0.54,0.45,40100,0.2,1.5,5.7,870,1.5
11/14/2018,67Steven000.7,New Mexico,NA,NA,Region 6,1,Total,297,1790,0.22,0.82,80,0.13,NA,0.12,94700,1.1,0.7,2.2,1440,2.3,14800,68.7,0.079,1.6,3.9,4580,0.57,0.45,43500,0.2,2.5,13.3,1100,2
11/14/2018,10SANJUANR38,New Mexico,Navajo Nation,NA,Region 6,1,Total,241,788,0.22,0.78,70,0.13,NA,0.12,76700,1.1,0.6,1.7,605,0.7,12000,29.8,0.382,1.6,3.1,3630,0.7,0.45,43800,0.2,1.5,4.7,880,1.6
11/14/2018,10SANJUANR25,New Mexico,Navajo Nation,NA,Region 6,1,Total,635,238,0.22,4.9,62,0.13,NA,0.12,181000,1.1,1.4,4,1770,0.4,44400,1900,0.107,3.2,5.3,7490,2.2,0.45,492000,0.2,2.7,4,2000,2.8
11/14/2018,06CHACORIV04,New Mexico,Navajo Nation,NA,Region 6,1,Total,122,6000,0.22,1.9,111,0.13,NA,0.12,40500,2.3,1.4,7.9,3780,2.6,5060,44.4,0.109,3.6,4.3,6940,3.4,0.45,182000,0.2,7.4,9.8,530,5.1
