Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
123,Aquatic Life,Aquatic Acute,Navajo Nation,Chromium(III),Dissolved,,0.316,(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000
195,Aquatic Life,Aquatic Chronic,Navajo Nation,Chromium(III),Dissolved,,0.86,(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000
4,Agriculture,Agricultural Supply,Navajo Nation,Cobalt,Dissolved,5,,
360,Livestock,Livestock Watering,Navajo Nation,Cobalt,Dissolved,1,,
5,Agriculture,Agricultural Supply,Navajo Nation,Copper,Dissolved,5,,
124,Aquatic Life,Aquatic Acute,Navajo Nation,Copper,Dissolved,,0.96,(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000
196,Aquatic Life,Aquatic Chronic,Navajo Nation,Copper,Dissolved,,0.96,(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000
287,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Copper,Total,1.3,,
361,Livestock,Livestock Watering,Navajo Nation,Copper,Total,0.5,,
256,Aquatic Life,Warm Water Fish 1-hr,Utah,Iron,Dissolved,1,,
269,Aquatic Life,Warm Water Fish 4-day,Utah,Iron,Dissolved,1,,
452,Recreation and Human Contact,Recreational,Utah,Iron,Total,851.582,,
15,Agriculture,Agricultural Uses,Utah,Lead,Dissolved,0.1,,
55,Agriculture,Irrigation (long-term),Utah,Lead,Dissolved,5,,
69,Agriculture,Irrigation (short-term),Utah,Lead,Dissolved,10,,
148,Aquatic Life,Aquatic Acute,Utah,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
108,Aquatic Life,Aquatic Acute,Colorado,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
179,Aquatic Life,Aquatic Chronic,Colorado,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
278,Domestic Water Supply,Domestic Supply 1-Day,Colorado,Lead,Total Recoverable,0.05,,
217,Aquatic Life,Aquatic Chronic,Utah,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
257,Aquatic Life,Warm Water Fish 1-hr,Utah,Lead,Dissolved,0.065,,
270,Aquatic Life,Warm Water Fish 4-day,Utah,Lead,Dissolved,0.025,,
313,Domestic Water Supply,Domestic Water Supply,Utah,Lead,Dissolved,0.015,,
402,Livestock,Livestock Watering,Utah,Lead,Dissolved,0.1,,
453,Recreation and Human Contact,Recreational,Utah,Lead,Total,0.91,,
403,Livestock,Livestock Watering,Utah,Magnesium,Dissolved,250,,
56,Agriculture,Irrigation (long-term),Utah,Manganese,Dissolved,0.2,,
70,Agriculture,Irrigation (short-term),Utah,Manganese,Dissolved,10,,
109,Aquatic Life,Aquatic Acute,Colorado,Manganese,Dissolved,,1,(CF*exp( 0.3331 *log(hardness)+ 6.4676 ))/1000
180,Aquatic Life,Aquatic Chronic,Colorado,Manganese,Dissolved,,1,(CF*exp( 0.3331 *log(hardness)+ 5.8743 ))/1000
454,Recreation and Human Contact,Recreational,Utah,Manganese,Total,31.04,,
181,Aquatic Life,Aquatic Chronic,Colorado,Mercury,Total,1.00E-05,,
279,Domestic Water Supply,Domestic Supply 1-Day,Colorado,Mercury,Total Recoverable,0.002,,
258,Aquatic Life,Warm Water Fish 1-hr,Utah,Mercury,Dissolved,1.20E-05,,
271,Aquatic Life,Warm Water Fish 4-day,Utah,Mercury,Dissolved,1.20E-05,,
314,Domestic Water Supply,Domestic Water Supply,Utah,Mercury,Dissolved,0.002,,
404,Livestock,Livestock Watering,Utah,Mercury,Dissolved,0.01,,
455,Recreation and Human Contact,Recreational,Utah,Mercury,Total,1.242,,
57,Agriculture,Irrigation (long-term),Utah,Molybdenum,Dissolved,0.01,,
71,Agriculture,Irrigation (short-term),Utah,Molybdenum,Dissolved,0.05,,
456,Recreation and Human Contact,Recreational,Utah,Molybdenum,Total,3.104,,
416,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Copper,Total,9.33,,
468,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Copper,Total,9.33,,
92,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Hardness,Dissolved,300,,
242,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Hardness,Dissolved,300,,
6,Agriculture,Agricultural Supply,Navajo Nation,Lead,Total,10,,
125,Aquatic Life,Aquatic Acute,Navajo Nation,Lead,Dissolved,,1.46203 -log(hardness)* 0.14572,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
197,Aquatic Life,Aquatic Chronic,Navajo Nation,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
288,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Lead,Total,0.015,,
362,Livestock,Livestock Watering,Navajo Nation,Lead,Total,0.1,,
417,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Lead,Total,0.015,,
469,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Lead,Total,0.015,,
94,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Mercury,Dissolved,0.0024,,
208,Aquatic Life,Aquatic Chronic,New Mexico,Manganese,Dissolved,,1,(CF*exp( 0.3331 *log(hardness)+ 5.8743 ))/1000
139,Aquatic Life,Aquatic Acute,New Mexico,Mercury,Dissolved,0.0014,,
209,Aquatic Life,Aquatic Chronic,New Mexico,Mercury,Dissolved,0.00077,,
303,Domestic Water Supply,Domestic Water Supply,New Mexico,Mercury,Total,0.002,,
372,Livestock,Livestock Watering,New Mexico,Mercury,Total,0.01,,
409,Livestock,Wildlife Habitat,New Mexico,Mercury,Total,0.00077,,
33,Agriculture,Irrigation,New Mexico,Molybdenum,Dissolved,1,,
140,Aquatic Life,Aquatic Acute,New Mexico,Molybdenum,Total Recoverable,7.92,,
210,Aquatic Life,Aquatic Chronic,New Mexico,Molybdenum,Total Recoverable,1.895,,
