"","Screening.Criteria","Use","Jurisdiction","CharacteristicName","ResultSampleFractionText","Criteria_mg_L","CF","Criterion_Formula_mgL"
"150","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Cadmium","Dissolved",0.005,NA,NA
"151","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Chromium","Total Recoverable",0.1,NA,NA
"152","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Chromium","Dissolved",0.011,NA,NA
"153","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Chromium","Dissolved",0.05,NA,NA
"154","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Chromium(III)","Dissolved",NA,"8.396997847","(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000"
"155","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Chromium(III)","Dissolved",NA,"5.356197847","(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000"
"156","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Copper","Total Recoverable",0.2,NA,NA
"157","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Copper","Dissolved",NA,"3.674103848","(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000"
"158","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Copper","Dissolved",NA,"3.171882125","(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000"
"159","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Copper","Dissolved",1,NA,NA
